match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11701352,Mu T.,mu-tao,M,299,CHINA,CHINA,1.8,75,right-handed,,24381,44438,203665,672,TAO,China,"Mu, Tao"
11701386,Lamasine T.,lamasine-tristan,M,477,"Choisy-le-Roi, France","Thiais, France",1.83,69,right-handed,2010,22891,484846,47767,309,LAM,France,"Lamasine, Tristan"
11701444,Cukierman D.,cukierman-daniel,M,402,Israel,"Tel Aviv, Israel",,70,right-handed,,14443,89643,124708,487,CUK,Israel,"Cukierman, Daniel"
11701471,Faria J.,faria-jaime,M,514,,Lisbon,1.88,,,,21125,47781,341818,412,FAR,Portugal,"Faria, Jaime"
11701472,Squire H.,squire-henri,M,624,,Duisburg,1.96,,right-handed,,46941,100778,208225,262,SQU,Germany,"Squire, Henri"
11701473,Mikrut L.,mikrut-luka,M,395,,Split,1.88,,,,11281,21808,349090,507,MIK,Croatia,"Mikrut, Luka"
11701493,Pislak M.,pislak-manca,F,70,,,,,,,2053,29301,128592,1320,PIS,Slovenia,"Pislak, Manca"
11701495,Sposetti I.,sposetti-ilaria,F,135,,,,,,,1820,7419,235590,1363,SPO,Italy,"Sposetti, Ilaria"
11701499,Pochtovyk K.,pochtovyk-krystyna,F,59,,,,,,,,,291750,1322,POC,Ukraine,"Pochtovyk, Krystyna"
11701509,Damm M.,damm-jr-martin,M,691,,Bradenton,2.03,,left-handed,,65979,148548,51345,257,DAMM,USA,"Damm Jr, Martin"
11701524,Genov A.,genov-anthony,M,104,,,,,,,1193,7158,332112,1444,GEN,Bulgaria,"Genov, Anthony"
11701527,Chayka A.,chayka-aleksander,M,43,,,,,,,1400,1605,445464,1304,CHA,Russia,"Chayka, Aleksander"
11701533,Vanta V.,vanta-valentin,M,86,"Bucharest, Romania","Wurzburg, Germany",1.8,67,right-handed,,2013,14043,195319,1346,VAN,Romania,"Vanta, Valentin"
11701534,Fery A.,fery-arthur,M,930,,"Sèvres, France",1.75,,,,94590,178631,321789,271,FER,United Kingdom,"Fery, Arthur"
11701535,Echargui M.,echargui-moez,M,607,"La Marsa, Tunisia","La Marsa, Tunisia",1.78,75,right-handed,,32818,121300,153826,282,ECH,Tunisia,"Echargui, Moez"
11701536,Laki M.,laki-michaela,F,681,,,,,,,14223,27851,340445,480,LAK,Greece,"Laki, Michaela"
11701537,Mohamed H.,mohamed-helena,F,85,,,,,,,2095,6078,374071,1280,MOH,France,"Mohamed, Helena"
11701538,Munk Mortensen R.,munk-mortensen-rebecca,F,503,,,,,,,4753,7829,387966,779,MUN,Denmark,"Munk Mortensen, Rebecca"
11701539,Grey S.,grey-sarah-beth,F,301,,,,,,,17705,162175,91916,432,GRE,United Kingdom,"Grey, Sarah Beth"
11701541,Morvayova V.,morvayova-viktoria,F,227,,,,,,,10933,51955,193083,516,MOR,Slovakia,"Morvayova, Viktoria"
11701542,Kubka M.,kubka-martyna,F,910,,,,,,,21126,54458,294815,361,KUB,Poland,"Kubka, Martyna"
11701544,Elde E.,elde-emilie,F,46,,,,,,,829,3310,236451,1067,ELD,Norway,"Elde, Emilie"
11701555,Lee G.,lee-gyeong-seo,F,68,,,,,,,3873,4783,417332,831,LEE,South Korea,"Lee, Gyeong Seo"
11701556,Jamrichova R.,jamrichova-renata,F,326,,,,,left-handed,,4575,8287,420873,772,JAM,Slovakia,"Jamrichova, Renata"
11701557,Muntean V.,muntean-victoria,F,129,,,,,right-handed,,5883,74830,51223,643,MUN,France,"Muntean, Victoria"
11701558,Đaković M.,djakovic-mihaela,F,222,,,,,,,3834,21912,255129,766,DJA,Serbia,"Đaković , Mihaela"
11701559,Reami A.,reami-adriana,F,104,,,,,,,8148,31798,288611,807,REA,USA,"Reami, Adriana"
11701561,Krutykh O.,krutykh-oleksii,M,812,,Kiev,1.85,,right-handed,,162518,237704,232615,295,KRU,Ukraine,"Krutykh, Oleksii"
11701565,Christie F.,christie-freya,F,294,,,,,,,32533,140298,88494,637,CHR,United Kingdom,"Christie, Freya"
11701605,Debru G.,debru-gabriel,M,1633,,Grenoble,1.93,,right-handed,,41325,73877,375536,310,DEB,France,"Debru, Gabriel"
11701607,Reitano S.,reitano-stefano,M,173,,Turin,1.8,,,,5030,19148,104849,992,REI,Italy,"Reitano, Stefano"
11701608,Misasi G.,misasi-giannicola,M,216,,,,,,,3146,8673,297938,1052,MIS,Italy,"Misasi, Giannicola"
